period,p10,p25,p50,p75,p90
2016-01,0.0,0.0,8.46887862581619e-05,0.3088531964327318,0.9792874079589059
2016-02,0.0,0.0,0.0007251840572900959,0.35991217823664434,0.9804388448408123
2016-03,0.0,0.0,0.005057489430637323,0.46581027140521686,0.9965545188421393
2016-04,0.0,0.0,0.0029832138196613524,0.41245214728978685,0.993069903513223
2016-05,0.0,0.0,0.001446733414803776,0.3496783056593349,0.9853957920962338
2016-06,0.0,0.0,0.00169595303197173,0.35213576992980294,0.9797027280512173
2016-07,0.0,0.0,0.0006317171522229167,0.3318428431430212,0.9760921947435345
2016-08,0.0,0.0,0.0010649140197823836,0.3319202915984693,0.9724236130813372
2016-09,0.0,0.0,0.0008182639643976998,0.3628734719317999,0.9807176395906598
2016-10,0.0,0.0,0.0008465317815015774,0.36472740626648176,0.9884210547007056
2016-11,0.0,0.0,0.0007033077813693993,0.37229859616135674,0.9873366441680363
2016-12,0.0,0.0,0.0004439324654672926,0.32933517392056255,0.9768996509205603
2017-01,0.0,0.0,0.0,0.28203711453207114,0.9612293459659015
2017-02,0.0,0.0,0.0015051546802209747,0.3782299452529633,0.9874149186614055
2017-03,0.0,0.0,0.005371259451618559,0.45009788942552187,0.9946228314626231
2017-04,0.0,0.0,0.0011048930657187096,0.35329376933882883,0.9899233116245892
2017-05,0.0,0.0,0.0012783753428799757,0.35163087860458053,0.979527829848247
2017-06,0.0,0.0,0.0014495283483649864,0.35180073440531634,0.9807984763518388
2017-07,0.0,0.0,0.0004638955736419436,0.32787589732847966,0.9731853335479717
2017-08,0.0,0.0,0.0007292980672848081,0.33779436737104246,0.971294032738732
2017-09,0.0,0.0,0.00031310675066394995,0.32680083781845454,0.9685955424019915
2017-10,0.0,0.0,0.0008839434048858678,0.35134534133867024,0.977070364854057
2017-11,0.0,0.0,0.0007676500439972755,0.3595818995441399,0.9836051103280964
2017-12,0.0,0.0,0.0002462831883163014,0.29706739426314915,0.971812178993551
2018-01,0.0,0.0,0.0,0.2934504829104446,0.9687482533516182
2018-02,0.0,0.0,0.0009485979871725556,0.35474866519979664,0.9855446161954907
2018-03,0.0,0.0,0.002844669279480754,0.4042871589098063,0.9890086914725079
2018-04,0.0,0.0,0.003644230048796974,0.420175546280383,0.9930894954612369
2018-05,0.0,0.0,0.0023004723114213995,0.365359863374509,0.9823684833739088
2018-06,0.0,0.0,0.0006349856251954168,0.33418294267602333,0.9754849371162497
2018-07,0.0,0.0,0.00026506784546164727,0.3367700247055282,0.9747023175941301
2018-08,0.0,0.0,0.0007509694251353621,0.35083817020382047,0.9772536296622222
2018-09,0.0,0.0,0.0005744127904775856,0.3429064094433993,0.9825651290585988
2018-10,0.0,0.0,0.0016941844020903916,0.37625704573800567,0.9861805457512997
2018-11,0.0,0.0,0.0014900156690977574,0.3837848561246998,0.9848396752165952
2018-12,0.0,0.0,0.0002687025425273447,0.312837340193199,0.9818688081245275
2019-01,0.0,0.0,0.0002668508752514262,0.36783858443718054,0.9868032378738536
2019-02,0.0,0.0,0.0026065583279357317,0.4551778155300836,0.9960850898356199
2019-03,0.0,0.0,0.006998686400158573,0.5053364127597976,1.0
2019-04,0.0,0.0,0.004565848336826948,0.4700317415697179,0.9964430760142019
2019-05,0.0,0.0,0.004151730835806079,0.44270403450035245,0.9935365934783392
2019-06,0.0,0.0,0.004203017602327979,0.4577763838113959,0.9975629456340527
2019-07,0.0,0.0,0.00236897484229187,0.4128432579966739,0.9930184177382073
2019-08,0.0,0.0,0.002752663539229283,0.4268318815440811,0.991481053106704
2019-09,0.0,0.0,0.0016776374336528775,0.44362953256349924,0.9967389604902539
2019-10,0.0,0.0,0.004933665469206556,0.49833436615439075,1.0
2019-11,0.0,0.0,0.005398527155139574,0.513299601771906,1.0
2019-12,0.0,0.0,0.003803025642459663,0.47452079472566633,1.0
2020-01,0.0,0.0,0.0010153687146462137,0.43619224248908506,0.9974089547541672
2020-02,0.0,0.0,0.009551717677214848,0.5877804511845393,1.0
2020-03,0.0,0.0,0.03936346786497569,0.7580291102798806,1.0
2020-04,0.0,0.0,0.0025062106460901285,0.45200943839659413,1.0
2020-05,0.0,0.0,0.0,0.36657760909537307,0.9952323690441844
2020-06,0.0,0.0,0.002999037040599947,0.47554469018672635,1.0
2020-07,0.0,0.0,0.004727389398895811,0.4851506068233524,1.0
2020-08,0.0,0.0,0.004629655280807166,0.49571537257409143,1.0
2020-09,0.0,0.0,0.005259816645577953,0.5344080337656638,1.0
2020-10,0.0,0.0,0.005949079303299801,0.5235815883805796,1.0
2020-11,0.0,0.0,0.004863475462403027,0.5103537675879785,1.0
2020-12,0.0,0.0,0.0071266277308435905,0.5075434502894063,1.0
2021-01,0.0,0.0,0.002621770645148914,0.4673846302555578,1.0
2021-02,0.0,0.0,0.0059500904099272995,0.5270634663824225,1.0
2021-03,0.0,0.0,0.008061913475538598,0.511068241970149,1.0
2021-04,0.0,0.0,0.012291715607585758,0.5763596024064186,1.0
2021-05,0.0,0.0,0.008542246642472025,0.5395630055394072,1.0
2021-06,0.0,0.0,0.009337843156013537,0.5274633487056903,1.0
2021-07,0.0,0.0,0.009637210465211158,0.5323243749473993,1.0
2021-08,0.0,0.0,0.00731300777988826,0.5009742487359632,1.0
2021-09,0.0,0.0,0.007074556042849954,0.5123958762886598,1.0
2021-10,0.0,0.0,0.009438277746908395,0.5282267550934477,1.0
2021-11,0.0,0.0,0.007971621665884943,0.5370160912292223,1.0
2021-12,0.0,0.0,0.008291591065345388,0.5000519210799584,1.0
2022-01,0.0,0.0,0.004166850913593234,0.4761232651140908,1.0
2022-02,0.0,0.0,0.008521576946725052,0.5509398559734362,1.0
2022-03,0.0,0.0,0.013911188218010089,0.565099420888511,1.0
2022-04,0.0,0.0,0.01617631243485905,0.5799624070615297,1.0
2022-05,0.0,0.0,0.013340716358527906,0.5880596091053992,1.0
2022-06,0.0,0.0,0.01175430238347462,0.5725978322949159,1.0
2022-07,0.0,0.0,0.009832692487197961,0.5425160310595447,1.0
2022-08,0.0,0.0,0.009266287743041154,0.5309399072019474,1.0
2022-09,0.0,0.0,0.010805129831764345,0.5423006819501537,1.0
2022-10,0.0,0.0,0.013788358923748339,0.5632138309787601,1.0
2022-11,0.0,0.0,0.0140247555523669,0.5907618591953074,1.0
2022-12,0.0,0.0,0.013602577938686966,0.5964093517629457,1.0
